INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (1, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (2, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (3, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (4, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (5, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (6, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (7, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (8, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (9, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (10, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (11, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (12, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (13, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (14, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (15, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (16, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (17, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (18, '이상욱', '7605281111111');
INSERT INTO PRI_USR (MEMB_NUM, NM, SOC_REG_NUM) VALUES (19, '이상욱', '7605281111111');
